YEAR_WEEK,BRAND,DISTRIBUTION,DISTRIBUTION_REF
202053,fast_duck,0.010101010101010102,99.0
202101,fast_duck,0.010101010101010102,99.0
202102,fast_duck,0.010101010101010102,99.0
202103,fast_duck,0.010101010101010102,99.0
202104,fast_duck,0.010101010101010102,99.0
202105,fast_duck,0.010101010101010102,99.0
202106,fast_duck,0.010101010101010102,99.0
202107,fast_duck,0.010101010101010102,99.0
202108,fast_duck,0.010101010101010102,99.0
202109,fast_duck,0.010101010101010102,99.0
202110,fast_duck,0.010101010101010102,99.0
202111,fast_duck,0.010101010101010102,99.0
202112,fast_duck,0.010101010101010102,99.0
202113,fast_duck,0.010101010101010102,99.0
202114,fast_duck,0.010101010101010102,99.0
202115,fast_duck,0.010101010101010102,99.0
202116,fast_duck,0.010101010101010102,99.0
202117,fast_duck,0.010101010101010102,99.0
202118,fast_duck,0.010101010101010102,99.0
202119,fast_duck,0.010101010101010102,99.0
202120,fast_duck,0.010101010101010102,99.0
202121,fast_duck,0.010101010101010102,99.0
202122,fast_duck,0.010101010101010102,99.0
202123,fast_duck,0.010101010101010102,99.0
202124,fast_duck,0.010101010101010102,99.0
202125,fast_duck,0.010101010101010102,99.0
202126,fast_duck,0.010101010101010102,99.0
