,YEAR_WEEK,BRAND,alex_SPEND,fiona_SPEND,jack_SPEND,laura_SPEND,lisa_SPEND,marc_SPEND,mary_SPEND,tom_SPEND,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER,TARGET_VOL_SO,PROMOTION_FEATURE
100,201835,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,16076.4,0.11269348218280735
101,201835,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.46,0,0,0,0,0,0,0,0,1,0,0,0,0,8816.3,0.018916382599700573
102,201835,lully,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,127759.4,0.08724969192899999
103,201835,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.68,0,0,0,0,0,0,0,0,1,0,0,0,0,30257.3,0.02526355654305124
104,201835,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.01,0,0,0,0,0,0,0,0,1,0,0,0,0,1561.7,0.04329568553212583
105,201835,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.98,0,0,0,0,0,0,0,0,1,0,0,0,0,22386.1,0.07693410859030157
106,201835,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.62,0,0,0,0,0,0,0,0,1,0,0,0,0,152803.1,0.08244757731715377
107,201835,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,136841.5,0.0627563392724187
108,201836,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,61789.0,0.06917952206228445
109,201836,fast_duck,0.0,0.0,0.01,0.0,0.0,0.0,0.0,8504.45999996,0,0,0,0,0,0,0,0,0,1,0,0,0,464977.8,0.08044839738163063
110,201836,gold_plane,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,40461.8,0.08744316692322993
111,201836,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,13864.2,0.09016328372303535
112,201836,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,17472.2,0.08403990613312477
113,201836,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,7487.3,0.018691782577766342
114,201836,lully,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,111886.0,0.08104576869768611
115,201836,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.64,0,0,0,0,0,0,0,0,0,1,0,0,0,30543.3,0.021425761258108907
116,201836,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.14,0,0,0,0,0,0,0,0,0,1,0,0,0,1398.7,0.027999795082507332
117,201836,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,28264.9,0.07826961230097254
118,201836,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,135219.8,0.0733466550290165
