,YEAR_WEEK,is_last_week,january,february,march,april,may,june,july,august,september,october,november,december
141,202111,0,0,0,1,0,0,0,0,0,0,0,0,0
142,202112,0,0,0,1,0,0,0,0,0,0,0,0,0
143,202113,0,0,0,1,0,0,0,0,0,0,0,0,0
144,202114,0,0,0,0,1,0,0,0,0,0,0,0,0
145,202115,0,0,0,0,1,0,0,0,0,0,0,0,0
146,202116,0,0,0,0,1,0,0,0,0,0,0,0,0
147,202117,0,0,0,0,1,0,0,0,0,0,0,0,0
148,202118,0,0,0,0,0,1,0,0,0,0,0,0,0
149,202119,0,0,0,0,0,1,0,0,0,0,0,0,0
150,202120,0,0,0,0,0,1,0,0,0,0,0,0,0
151,202121,0,0,0,0,0,1,0,0,0,0,0,0,0
152,202122,0,0,0,0,0,0,1,0,0,0,0,0,0
153,202123,0,0,0,0,0,0,1,0,0,0,0,0,0
154,202124,0,0,0,0,0,0,1,0,0,0,0,0,0
155,202125,0,0,0,0,0,0,1,0,0,0,0,0,0
156,202126,0,0,0,0,0,0,1,0,0,0,0,0,0
