,YEAR_WEEK,BRAND,VOLUME_SO,relative_gap_to_90th_price
1309,201928,visitor,153825.9,0.018029326365085772
1310,201929,visitor,146974.2,0.016401008476397128
1311,201930,visitor,150095.5,0.019824712558113265
1312,201931,visitor,173001.6,0.01560446029255836
1313,201932,visitor,167039.9,0.012356494731313955
1314,201933,visitor,164119.6,-0.0031859791516026794
1315,201934,visitor,162699.5,0.007796332603677758
1316,201935,visitor,161872.1,0.0232036748559795
1317,201936,visitor,196779.6,0.059103834080138896
1318,201937,visitor,156145.1,0.02466263115837832
1319,201938,visitor,138985.7,0.021752887578325112
1320,201939,visitor,138479.7,0.012265026069050835
1321,201940,visitor,206529.7,0.018519365539109617
1322,201941,visitor,184030.1,0.015756225573329244
1323,201942,visitor,215115.5,0.02974468899731171
1324,201943,visitor,182149.5,0.02725614207315033
1325,201944,visitor,227214.5,0.018217425592343746
1326,201945,visitor,252867.9,0.025334458008578576
1327,201946,visitor,162483.0,-0.015055273967901659
1328,201947,visitor,173773.5,0.01303214437999955
1329,201948,visitor,173786.3,-0.0009132328908980653
1330,201949,visitor,182411.1,0.0024873984852930484
1331,201950,visitor,181441.9,0.0001453510707683861
1332,201951,visitor,228610.5,0.0008350016061272998
1333,201952,visitor,211278.1,0.00902209929215163
1334,202001,visitor,212755.3,0.016159211408757753
1335,202002,visitor,141148.4,0.01166730532059255
1336,202003,visitor,174541.9,0.025180585999054043
1337,202004,visitor,165710.4,0.017486185941889512
1338,202005,visitor,153589.1,0.0102876633404752
1339,202006,visitor,147112.2,0.0075967703899161056
1340,202007,visitor,144934.3,0.0034277818456836862
1341,202008,visitor,226255.4,0.01808855480086793
1342,202009,visitor,177553.6,0.008125703405392159
1343,202010,visitor,163331.7,0.020194376889649583
1344,202011,visitor,193608.6,0.017954517720642216
1345,202012,visitor,156420.8,0.011101981044845432
1346,202013,visitor,138268.4,0.0074736764827299075
1347,202014,visitor,155886.3,0.024201266422652606
1348,202015,visitor,188828.7,0.02533202703338576
1349,202016,visitor,151150.9,0.0055919865038050525
1350,202017,visitor,150643.3,0.006019185992209505
1351,202018,visitor,149559.5,0.005704791754906571
1352,202019,visitor,170775.3,0.009711360739960581
1353,202020,visitor,211053.6,0.011730752202033455
1354,202021,visitor,205984.9,0.01669640557447136
1355,202022,visitor,185688.1,0.005498853258682125
1356,202023,visitor,180073.6,-0.0020939089812253573
1357,202024,visitor,200263.0,-0.013594637528670277
1358,202025,visitor,197834.1,-0.009940381281562993
1359,202026,visitor,153009.5,0.003268228418603348
1360,202027,visitor,164234.7,0.011346128588000976
1361,202028,visitor,179361.2,0.01777420914501665
1362,202029,visitor,177529.9,0.01044716819627469
1363,202030,visitor,167983.6,0.01214189812408398
1364,202031,visitor,173794.6,0.014597182567734783
1365,202032,visitor,172311.7,0.01071691385482897
1366,202033,visitor,157860.9,0.007014098466078868
1367,202034,visitor,168197.8,0.01245152434182659
1368,202035,visitor,189110.5,0.025796689951830112
1369,202036,visitor,203604.7,0.044691566834156926
1370,202037,visitor,154665.5,0.0066960019433009044
1371,202038,visitor,196484.9,0.025339414950354303
1372,202039,visitor,145257.7,0.011844817657707554
1373,202040,visitor,198764.1,0.026351595313593684
1374,202041,visitor,167466.0,0.016344358337363647
1375,202042,visitor,211084.7,0.02589841109000508
