,0
130,465858.3430531609
131,465858.3430531609
132,465860.8104031473
133,465871.87826490006
134,465886.84646933613
135,465904.1273262317
136,465923.0977218299
137,465942.1470756692
138,465961.72975484905
139,465981.49803399557
140,464242.4537598094
141,464476.0038695641
142,464987.9486441155
143,465378.81449344585
144,465675.25449308904
145,465904.1273262317
146,466092.7721196821
147,466255.11821006314
148,466389.6518428445
149,466502.69253072713
150,465697.7043306839
151,465697.7043306839
152,465727.8080423345
153,465774.2785207975
154,465837.7834544484
155,465904.1273262317
156,465963.4887882948
157,466018.1790647431
158,466069.2642209452
159,466115.7461055061
160,465904.1273262317
161,465904.1273262317
162,465904.1273262317
163,465904.1273262317
164,465904.1273262317
165,465904.1273262317
166,465904.1273262317
167,465904.1273262317
168,465904.1273262317
169,465904.1273262317
170,461859.6999943488
171,463643.05373817775
172,464618.80283508217
173,465197.220389866
174,465606.2791922639
175,465904.1273262317
176,466135.54186955054
177,466321.9772061847
178,466475.99120798614
179,466605.63158372004
180,465898.2497619001
181,465898.2497619001
182,465898.2497619001
183,465899.57770340476
184,465901.8360114808
185,465904.1273262317
186,465906.9249767104
187,465910.1108965646
188,465913.2833581162
189,465916.4142412424
190,465407.1519603845
191,465464.0572102091
192,465592.21542021603
193,465709.9064288356
194,465813.52087371005
195,465904.1273262317
196,465981.5019982645
197,466051.0453638665
198,466112.5132095779
199,466169.1030539648
200,465824.3390571111
201,465824.9919160574
202,465837.6079068835
203,465857.0765674927
204,465880.041632139
205,465904.1273262317
206,465928.56708287
207,465953.5533769453
208,465977.8062665979
209,466001.14127107774
210,465421.7173477328
211,465537.21014372824
212,465681.960098808
213,465780.8058309238
214,465852.2606965415
215,465904.1273262317
216,465943.3322112454
217,465973.8006215256
218,465997.98685759754
219,466018.0110525301
220,465678.34991493926
221,465682.05610850424
222,465745.0810758586
223,465808.94341653265
224,465861.0573797611
225,465904.1273262317
226,465940.11238910875
227,465970.4466826928
228,465996.20525239455
229,466018.21191853
230,465624.0110095684
231,465705.4494303182
232,465784.78733879764
233,465838.3888541924
234,465876.37944667944
235,465904.1273262317
236,465924.82363691734
237,465940.50436926534
238,465952.53271689
239,465961.85359786253
240,464632.9941689199
241,465253.10984196357
242,465541.3528264484
243,465711.6611327458
244,465823.15461488295
245,465904.1273262317
246,465966.2729234864
247,466015.72361716867
248,466056.1085172767
249,466089.74960767955
250,465699.42044476233
251,465726.3283497596
252,465780.7796572906
253,465828.38392876537
254,465869.19031086506
255,465904.1273262317
256,465934.45646236447
257,465961.1597716956
258,465984.40141286305
259,466004.6959876474
260,465762.88561805966
261,465782.75738060893
262,465825.0426086886
263,465856.815490814
264,465881.7036224214
265,465904.1273262317
266,465924.22131598264
267,465941.2756785877
268,465955.9328048277
269,465968.65861141455
270,465713.2098060258
271,465730.6723897831
272,465776.6110516462
273,465824.03973050765
274,465866.63776196266
275,465904.1273262317
276,465936.9281536855
277,465965.5959266436
278,465990.6751806277
279,466012.6568044564
280,462742.4869224035
281,463091.5298281536
282,463783.68505465187
283,464554.3256324218
284,465272.82486132794
285,465904.1273262317
286,466481.6150943694
287,466988.2122862071
288,467434.84244621353
289,467830.2850316346
290,465148.81563907774
291,465171.482847328
292,465334.78373245854
293,465516.8621162871
294,465716.90914840484
295,465904.1273262317
296,466071.13121601666
297,466221.5619930752
298,466362.1702070691
299,466491.25243128627
300,465624.0110095684
301,465705.4494303182
302,465784.78733879764
303,465838.3888541924
304,465876.37944667944
305,465904.1273262317
306,465924.82363691734
307,465940.50436926534
308,465952.53271689
309,465961.85359786253
310,459576.87704317045
311,461999.830220173
312,463540.30966121436
313,464584.51888226846
314,465330.7298793356
315,465904.1273262317
316,466368.0690843433
317,466745.90555305226
318,467057.62641429313
319,467322.1601386803
320,465304.990989586
321,465371.01690938347
322,465520.4131950542
323,465662.1337424101
324,465789.61376883386
325,465904.1273262317
326,466007.93452752224
327,466101.9438322998
328,466186.50850460975
329,466263.61073864857
330,464573.950475604
331,464704.74617808167
332,465040.3124572532
333,465363.9214600501
334,465653.5165573762
335,465904.1273262317
336,466125.41132978763
337,466325.8767837718
338,466503.2247012218
339,466663.21738495247
340,465587.6372638345
341,465605.7527065381
342,465666.77470921376
343,465744.73991043726
344,465825.27121097455
345,465904.1273262317
346,465980.33830592205
347,466053.0417267948
348,466121.95654961135
349,466187.04145706637
