CATEGORY,BRAND,EAN,YEAR_WEEK,DISTRIBUTION_CODE,SALES_SO,VOLUME_SO,SALES_SO_PROMO,VOLUME_SO_PROMO,sales_non_promo,volume_non_promo,,
joy,ideal_mouse,,202019,hyper_top,104732.3,6544.2,2255.9,145.9,,,,
joy,ideal_mouse,,202020,hyper_top,114632.3,7176.3,340.4,20.2,,,,
joy,ideal_mouse,,202021,hyper_top,134548.6,8442.8,3892.8,255.7,,,,
joy,ideal_mouse,,202022,hyper_top,150502.9,9496.7,34195.5,2234.5,,,,
joy,ideal_mouse,,202023,hyper_top,145599.7,9199.3,44111.5,2845.4,,,,
joy,ideal_mouse,,202024,hyper_top,124973.1,7856.4,22155.6,1426,,,,
joy,ideal_mouse,,202025,hyper_top,151653.2,9619.6,14085.9,932.9,,,,
joy,ideal_mouse,,202026,hyper_top,142305.2,8919.4,6922.5,440.4,,,,
joy,ideal_mouse,,202027,hyper_top,146874.5,9253.9,3911.3,251.3,,,,
joy,ideal_mouse,,202028,hyper_top,211878.7,14019,66308,4835.1,,,,
joy,ideal_mouse,,202029,hyper_top,193346.8,12362.4,49542.1,3339.3,,,,
joy,ideal_mouse,,202030,hyper_top,183591.3,11596.8,31682.1,2028.6,,,,
joy,ideal_mouse,,202031,hyper_top,204267,12946.1,28181,1798.2,,,,
joy,ideal_mouse,,202032,hyper_top,207096.1,13137.6,21863.8,1386.3,,,,
joy,ideal_mouse,,202033,hyper_top,198369.9,12577.6,14744.1,936.1,,,,
joy,ideal_mouse,,202034,hyper_top,226233.8,14650.6,66812.1,4513.6,,,,
joy,ideal_mouse,,202035,hyper_top,171853.5,11048.9,32549.9,2204.4,,,,
joy,ideal_mouse,,202036,hyper_top,130408.8,8200.8,12422.4,824.6,,,,
joy,ideal_mouse,,202037,hyper_top,116005.7,7287.2,8635.5,588.3,,,,
joy,ideal_mouse,,202038,hyper_top,107291,6775.8,3496.4,239.1,,,,
joy,ideal_mouse,,202039,hyper_top,94897.8,6014.6,4648.5,294.2,,,,
joy,ideal_mouse,,202040,hyper_top,94270.6,6062.2,34179.2,2247.7,,,,
joy,ideal_mouse,,202041,hyper_top,86935.2,5476.3,24373.3,1528.6,,,,
joy,ideal_mouse,,202042,hyper_top,87501.3,5489.7,22623.6,1418.1,,,,
joy,ideal_mouse,,202043,hyper_top,89019.9,5604.6,18256.6,1148.5,,,,
joy,ideal_mouse,,202044,hyper_top,97117.1,6085.8,18848.4,1175.8,,,,
joy,ideal_mouse,,202045,hyper_top,76719.7,4803.3,7019.2,443.4,,,,
joy,ideal_mouse,,202046,hyper_top,85196.1,5336,6132,390.3,,,,
joy,ideal_mouse,,202047,hyper_top,82608.1,5173.5,23905.4,1502.2,,,,
joy,ideal_mouse,,202048,hyper_top,81798.5,5127.4,19924,1269.9,,,,
joy,ideal_mouse,,202049,hyper_top,91203.2,5892.2,25539.1,1725.3,,,,
joy,ideal_mouse,,202050,hyper_top,103861.6,6853.1,13622.6,1148.1,,,,
joy,ideal_mouse,,202051,hyper_top,140675.9,9236.3,36397.3,2671.8,,,,
joy,ideal_mouse,,202052,hyper_top,134673.5,8749.9,30704.8,2215.5,,,,
joy,ideal_mouse,,202053,hyper_top,134590.8,8676.6,40194,2761.6,,,,
joy,ideal_mouse,,202101,hyper_top,71117.1,4465.3,8100.1,520.1,,,,
joy,ideal_mouse,,202102,hyper_top,75162.5,4706,6418.4,408.7,,,,
joy,ideal_mouse,,202103,hyper_top,74221.8,4638.3,3741.3,236.6,,,,
joy,ideal_mouse,,202104,hyper_top,80247.8,5029,3393.5,220.5,,,,
joy,ideal_mouse,,202105,hyper_top,77401.5,4849.9,3798.7,241.3,,,,
joy,ideal_mouse,,202106,hyper_top,82416.5,5176,4260.7,282.2,,,,
joy,ideal_mouse,,202107,hyper_top,85344.8,5344.1,4437.8,291.9,,,,
joy,ideal_mouse,,202108,hyper_top,89727.9,5625.9,3712.5,242,,,,
joy,ideal_mouse,,202109,hyper_top,94021.4,5929.1,4835.8,317.6,,,,
joy,ideal_mouse,,202110,hyper_top,91070.5,5739.2,3138.9,203.5,,,,
joy,ideal_mouse,,202111,hyper_top,88921.3,5593.7,3386.8,217.8,,,,
joy,ideal_mouse,,202112,hyper_top,93379.4,5865.2,2482.7,157.1,,,,
joy,ideal_mouse,,202113,hyper_top,119266.3,7500.7,2153.5,138.8,,,,
joy,ideal_mouse,,202114,hyper_top,90180.4,5652,584.8,39.5,,,,
joy,ideal_mouse,,202115,hyper_top,100237,6278.8,1481.1,94.7,,,,
joy,ideal_mouse,,202116,hyper_top,108871.2,6820,328.2,18.4,,,,
joy,ideal_mouse,,202117,hyper_top,116394,7419.2,30240.2,1976.4,,,,
joy,ideal_mouse,,202118,hyper_top,141028,9021.7,52814.2,3409.5,,,,
joy,ideal_mouse,,202119,hyper_top,136833,8648.3,9142.8,595.1,,,,
joy,ideal_mouse,,202120,hyper_top,134886,8588.6,30496.4,2037.6,,,,
joy,ideal_mouse,,202121,hyper_top,124752,7900.7,22037.5,1468.1,,,,
joy,ideal_mouse,,202122,hyper_top,153173.8,9711.6,49708.5,3225.9,,,,
joy,ideal_mouse,,202123,hyper_top,147438.7,9327.9,23156.4,1524,,,,
joy,ideal_mouse,,202124,hyper_top,144505.8,9112.4,7514.9,472.7,,,,
joy,ideal_mouse,,202125,hyper_top,139524.1,8798.8,9688.5,635.9,,,,
joy,ideal_mouse,,202126,hyper_top,147856.5,9376.6,18664,1243.5,,,,
joy,angry_cat,,201827,hyper_top,369307.4,54743.2,18234.8,2719.6,6.746178521,6.704956611,6.74422757,
joy,angry_cat,,201828,hyper_top,364321.6,53872.5,8278,1228.4,,,,
joy,angry_cat,,201829,hyper_top,387074.7,57470.5,41828,6366.4,,,,
joy,angry_cat,,201830,hyper_top,412039.2,61853,113022.1,17765.9,,,,
joy,angry_cat,,201831,hyper_top,396817.1,59208,34564.2,5575.3,,,,
joy,angry_cat,,201832,hyper_top,452348.8,67569,116556,17839.9,,,,
joy,angry_cat,,201833,hyper_top,388442.1,57565,27679.4,4174.9,,,,
joy,angry_cat,,201834,hyper_top,366044,54176.3,20680.5,2970,,,,
joy,angry_cat,,201835,hyper_top,470778.7,70441.5,170410.5,25403.2,,,,
joy,angry_cat,,201836,hyper_top,413012.5,61789,112665.4,17091,,,,
joy,angry_cat,,201837,hyper_top,433784.5,67491,162472.2,27430.4,,,,
joy,angry_cat,,201838,hyper_top,405222.5,61214,116247.5,18432.1,,,,
joy,angry_cat,,201839,hyper_top,351971.3,52248,41320.3,6287.3,,,,
joy,angry_cat,,201840,hyper_top,349200.8,51832.1,23295.9,3534,,,,
joy,angry_cat,,201841,hyper_top,352292.8,52608.9,13120.8,2440.4,,,,
joy,angry_cat,,201842,hyper_top,589968.6,90337.9,292749.5,46546.3,,,,
joy,angry_cat,,201843,hyper_top,388585.3,59699.6,51189.5,10106.6,,,,
joy,angry_cat,,201844,hyper_top,694111.6,106824,412718.7,65557.4,,,,
joy,angry_cat,,201845,hyper_top,568667.4,88640,307942.1,50298.1,,,,
joy,angry_cat,,201846,hyper_top,361149.4,54370,49366.7,8036.5,,,,
joy,angry_cat,,201847,hyper_top,405627.2,60556.4,93415,14458,,,,
joy,angry_cat,,201848,hyper_top,454859.6,68454.5,179164.8,27976.7,,,,
joy,angry_cat,,201849,hyper_top,569805.4,86405.7,311312.4,48659,,,,
joy,angry_cat,,201850,hyper_top,491391.1,73969.8,187447.3,29367.6,,,,
joy,angry_cat,,201851,hyper_top,589372.1,88379.5,223960.7,34892.8,,,,
joy,angry_cat,,201852,hyper_top,384990.9,56877,62485.8,9716.9,,,,
joy,angry_cat,,201901,hyper_top,378703.7,55836.1,107881.4,16567.3,,,,
joy,angry_cat,,201902,hyper_top,485468,71604.4,258031.5,38541,,,,
joy,angry_cat,,201903,hyper_top,483415,72408.7,244237.6,37545.5,,,,
joy,angry_cat,,201904,hyper_top,372107.3,57193.5,134083.4,22710.8,,,,
joy,angry_cat,,201905,hyper_top,341479.4,51681.4,65316.5,11806.5,,,,
joy,angry_cat,,201906,hyper_top,326290.9,46821.9,36268.8,5617.9,,,,
joy,angry_cat,,201907,hyper_top,313592.7,44180,22144,3150.3,,,,
joy,angry_cat,,201908,hyper_top,329703.8,46491.3,38719.4,5567.9,,,,
joy,angry_cat,,201909,hyper_top,377832.6,53273.3,127045.3,18117,,,,
joy,angry_cat,,201910,hyper_top,342308.2,48122.3,91701.1,13050.5,,,,
joy,angry_cat,,201911,hyper_top,453394.4,63580.2,157691.8,22306.8,,,,
joy,angry_cat,,201912,hyper_top,403407.2,58518.9,132796.7,21066.8,,,,
joy,angry_cat,,201913,hyper_top,419621.4,59195.1,119668.3,17453.5,,,,
joy,angry_cat,,201914,hyper_top,366794,51323.3,7260.9,1050.1,,,,
joy,angry_cat,,201915,hyper_top,372480.7,52162.6,10066.2,1349.8,,,,
joy,angry_cat,,201916,hyper_top,431773.7,60582.6,21115.4,2925.3,,,,
joy,angry_cat,,201917,hyper_top,404130.9,59323.8,66253.8,11765,,,,
joy,angry_cat,,201918,hyper_top,427251.8,61859.6,59343.8,10359.1,,,,
joy,angry_cat,,201919,hyper_top,425664,60637.2,57182.9,9243.4,,,,
joy,angry_cat,,201920,hyper_top,378657.2,53124.1,22549.5,3423,,,,
joy,angry_cat,,201921,hyper_top,376063.1,52496.2,15043.4,2126.3,,,,
joy,angry_cat,,201922,hyper_top,385636.7,53865.2,9944.2,1401.1,,,,
joy,angry_cat,,201923,hyper_top,395880.4,55231.6,12892.3,1788.4,,,,
joy,angry_cat,,201924,hyper_top,577573.7,81500.5,247667.2,35356.7,,,,
joy,angry_cat,,201925,hyper_top,423183.5,59493.8,123335.7,17475.3,,,,
joy,angry_cat,,201926,hyper_top,337146.2,47016.6,9362.2,1284.8,,,,
joy,angry_cat,,201927,hyper_top,357974,49906.2,8471.9,1196.3,,,,
joy,angry_cat,,201928,hyper_top,363800.1,50617.9,4897.6,689.9,,,,
joy,angry_cat,,201929,hyper_top,373536.2,52172.4,19427.8,2755.7,,,,
joy,angry_cat,,201930,hyper_top,355063.9,49555.8,17842.9,2544.7,,,,
joy,angry_cat,,201931,hyper_top,434476.2,60778.2,69708.1,10041.3,,,,
joy,angry_cat,,201932,hyper_top,413728,57745,40719.5,5856.8,,,,
joy,angry_cat,,201933,hyper_top,396445.3,55348.7,21589.8,2982.3,,,,
joy,angry_cat,,201934,hyper_top,382128.9,53347.7,14862.2,2049.4,,,,
joy,angry_cat,,201935,hyper_top,467270.6,65615,122353.2,17497.6,,,,
joy,angry_cat,,201936,hyper_top,408008.9,57150.6,68989.8,9878.8,,,,
joy,angry_cat,,201937,hyper_top,405540,56859.1,109424.5,15608.7,,,,
joy,angry_cat,,201938,hyper_top,374250.3,52702.6,78278.2,11252.3,,,,
joy,angry_cat,,201939,hyper_top,608677.2,86000.3,321128.1,46006.5,,,,
joy,angry_cat,,201940,hyper_top,363796.5,50660.9,33105.1,4642,,,,
joy,angry_cat,,201941,hyper_top,357080,49989.3,24284,3464.8,,,,
joy,angry_cat,,201942,hyper_top,587616.4,84307.1,254053.2,37354,,,,
joy,angry_cat,,201943,hyper_top,537969.1,77444.6,176776.6,26791.8,,,,
joy,angry_cat,,201944,hyper_top,499735.1,72216.7,173420.7,27040.3,,,,
joy,angry_cat,,201945,hyper_top,455392.9,64831.9,97858.7,15355.5,,,,
joy,angry_cat,,201946,hyper_top,387843.3,54976.4,44760.8,7208.7,,,,
joy,angry_cat,,201947,hyper_top,415708.6,58507.2,78654.8,11360.1,,,,
joy,angry_cat,,201948,hyper_top,465538.8,65533.3,139329.1,20069.8,,,,
joy,angry_cat,,201949,hyper_top,602952.7,86292.8,293562.2,43056.9,,,,
joy,angry_cat,,201950,hyper_top,605132.9,86304.1,295219.4,42390.7,,,,
joy,angry_cat,,201951,hyper_top,576563.2,81943.7,221016.3,31809,,,,
joy,angry_cat,,201952,hyper_top,439530,61742.8,53776.1,7552.7,,,,
joy,angry_cat,,202001,hyper_top,429444.9,60015.2,92411.8,13037.9,,,,
joy,angry_cat,,202002,hyper_top,374408.8,52410.2,78968.2,11317.5,,,,
joy,angry_cat,,202003,hyper_top,371616.1,52768.7,38858.9,5904.7,,,,
joy,angry_cat,,202004,hyper_top,372301.9,53488,48312.6,8338.6,,,,
joy,angry_cat,,202005,hyper_top,375076.6,53403.7,30516.3,5324.5,,,,
joy,angry_cat,,202006,hyper_top,370434.6,52048,21113.1,3245.5,,,,
joy,angry_cat,,202007,hyper_top,367310.5,51301.1,17406.1,2485.4,,,,
joy,angry_cat,,202008,hyper_top,394152.6,55256.9,46153.3,6758.2,,,,
joy,angry_cat,,202009,hyper_top,390542.8,54615.1,16282.8,2342.3,,,,
joy,angry_cat,,202010,hyper_top,480491.2,67775.6,81530.2,11864.8,,,,
joy,angry_cat,,202011,hyper_top,414954.4,58148.1,17496.1,2520.9,,,,
joy,angry_cat,,202012,hyper_top,318032.4,44479.2,43622.1,6517.7,,,,
joy,angry_cat,,202013,hyper_top,308249.9,42913.6,20834.3,3028.1,,,,
joy,angry_cat,,202014,hyper_top,348139.6,48659.9,67023.6,9638.7,,,,
joy,angry_cat,,202015,hyper_top,410394.1,57387,74555.9,10707.4,,,,
joy,angry_cat,,202016,hyper_top,364015.1,50691.2,4252.5,566.8,,,,
joy,angry_cat,,202017,hyper_top,382436.6,53386.7,5518.6,814.4,,,,
joy,angry_cat,,202018,hyper_top,371465.7,51783.8,19359.1,2789.9,,,,
joy,angry_cat,,202019,hyper_top,426052.2,59453.8,11560.2,1595.5,,,,
joy,angry_cat,,202020,hyper_top,552053,77685.1,153922.4,22086.6,,,,
joy,angry_cat,,202021,hyper_top,501188.4,70187.6,123795.6,17816,,,,
joy,angry_cat,,202022,hyper_top,459090.2,63936.6,11106.9,1577.7,,,,
joy,angry_cat,,202023,hyper_top,484093.2,67791.7,83108.1,11922,,,,
joy,angry_cat,,202024,hyper_top,428626.7,60062.3,42830.6,5974.8,,,,
joy,angry_cat,,202025,hyper_top,447963.2,62503.3,18117.1,2580.2,,,,
joy,angry_cat,,202026,hyper_top,396166.5,55287.9,8380.5,1162,,,,
joy,angry_cat,,202027,hyper_top,407011.7,56812.7,14143.4,1984.4,,,,
joy,angry_cat,,202028,hyper_top,469228.7,68036.9,118870.3,19100.7,,,,
joy,angry_cat,,202029,hyper_top,415047.8,58594.6,78411.5,11505,,,,
joy,angry_cat,,202030,hyper_top,397500,55606.6,24662.4,3451.4,,,,
joy,angry_cat,,202031,hyper_top,488187.1,68460.8,151985.8,21553.7,,,,
joy,angry_cat,,202032,hyper_top,450874.2,63134.5,104529.3,14820.4,,,,
joy,angry_cat,,202033,hyper_top,392466.5,54826.5,15929.7,2238.8,,,,
joy,angry_cat,,202034,hyper_top,532554.2,77531.3,142861.3,20679.4,,,,
joy,angry_cat,,202035,hyper_top,530077.5,77474,246909,38008.2,,,,
joy,angry_cat,,202036,hyper_top,420876,59620.9,117581.4,17464,,,,
joy,angry_cat,,202037,hyper_top,367626.3,51364.8,19879.4,2811.8,,,,
joy,angry_cat,,202038,hyper_top,351956.6,49092.8,17222.7,2470.5,,,,
joy,angry_cat,,202039,hyper_top,348179.6,48559.4,7477.8,1053.4,,,,
