draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta1.1,beta1.2,beta1.3,beta1.4,beta1.5,beta1.6,beta1.7,beta1.8,beta1.9,beta1.10,beta1.11,beta1.12,alpha,noise_var
1741,217.46369572204912,0.998445921101823,0.052221017393700386,5.0,31.0,0.0,-208.82350034967024,0.4819108642202074,0.4282820774466318,0.6217992401674133,0.5795036717665956,0.5779064492927598,0.44648127903594176,0.37541476184411654,0.5265045773867426,0.4928373489646125,0.6977409328779031,0.4378228178383842,0.5355874962860541,0.4868511467995123,0.01738925848802738
1742,214.19847479518995,0.374121745439132,0.20985579023658457,5.0,31.0,0.0,-209.8234764680762,0.39098917733418503,0.372568538706074,0.5623285460543923,0.47943270435604063,0.48247623835735276,0.2594402762004688,0.39583807472849697,0.43377093298628444,0.36968575812903026,0.504845162403033,0.42005225658813633,0.4091504075336345,0.5761925746744809,0.015621011476704015
1743,219.7669606358445,0.9890974038350784,0.09639360725096661,4.0,15.0,0.0,-212.71506992586777,0.4765058244800996,0.4610890573580807,0.66130196078801,0.571941271409404,0.5667791912554874,0.3861199179052272,0.3777420976525499,0.4559410167680624,0.4903517471708427,0.5536183665198192,0.4807030744900867,0.5056424229558858,0.49348227405446465,0.013694187962807107
1744,217.8947424541706,0.015077252069186921,0.11776663328442276,3.0,7.0,0.0,-210.74720216072853,0.42829002281019224,0.4479141222316566,0.645917842207781,0.6168986206297495,0.5636481233420187,0.33307822181717917,0.3698483211324955,0.5477409094858047,0.5673097101389476,0.6275354161291409,0.52472893732137,0.5084977861634125,0.4780230896284579,0.016927692678178143
1745,218.1802979831424,0.9987425380456958,0.052221017393700386,5.0,31.0,0.0,-213.88492533109053,0.4398281882576886,0.4909767315082897,0.638804869417127,0.5248888275317892,0.6046224622570423,0.3546001568787666,0.3290840298160829,0.45182655757868556,0.5331690774588678,0.588724497044122,0.542662042495449,0.4952836360182619,0.5000983668315014,0.017175361214301927
1746,214.19847479518995,0.023769175679417498,0.20985579023658457,3.0,7.0,0.0,-206.75476214299465,0.39098917733418503,0.372568538706074,0.5623285460543923,0.47943270435604063,0.48247623835735276,0.2594402762004688,0.39583807472849697,0.43377093298628444,0.36968575812903026,0.504845162403033,0.42005225658813633,0.4091504075336345,0.5761925746744809,0.015621011476704015
1747,219.9896854555274,0.9925807071376122,0.09639360725096661,4.0,15.0,0.0,-215.31714986657272,0.47335110629931537,0.46653271527277496,0.6669482411927818,0.5699127487017956,0.5709914242985311,0.3810280111852086,0.37562029929966967,0.457930604826988,0.4985143476661019,0.5609155070664408,0.46578933786179694,0.49922119127152376,0.5064493900907232,0.013664703710753678
1748,217.8947424541706,0.0455758028500914,0.11776663328442276,4.0,15.0,0.0,-210.17279373092944,0.42829002281019224,0.4479141222316566,0.645917842207781,0.6168986206297495,0.5636481233420187,0.33307822181717917,0.3698483211324955,0.5477409094858047,0.5673097101389476,0.6275354161291409,0.52472893732137,0.5084977861634125,0.4780230896284579,0.016927692678178143
1749,221.32538839190676,0.9998395670497098,0.052221017393700386,5.0,31.0,0.0,-214.49864620001267,0.4377671648816013,0.40349376561701134,0.6313307130657408,0.5971418156672289,0.5931575098727567,0.40397537478435847,0.42158337512970845,0.49550974225550437,0.5286503414438283,0.6645600698163875,0.482527557362341,0.518342089502575,0.4857747735368673,0.014547619690165417
1750,214.91832005767154,0.18978724047086695,0.20985579023658457,3.0,7.0,0.0,-204.82300808106575,0.4431374662564408,0.3603786486659974,0.5222705644246853,0.5145102835024219,0.5459949559154098,0.27039306313697337,0.34932033687119424,0.4365271618417789,0.4208981709377467,0.5578094571152401,0.43357050590221197,0.45590523478147654,0.5776435947010039,0.014833704213363911
