CATEGORY,BRAND,SUB_BRAND,BRAND_QUALITY_ID,EAN,YEAR_WEEK,DISTRIBUTION_CODE,DISTRIBUTION,DISTRIBUTION_PROMO,DISTRIBUTION_DISPLAY,DISTRIBUTION_FEATURE_DISPLAY,DISTRIBUTION_FEATURE
joy,lully,,,,201828,hyper_top,98,1,12,0,12
joy,fast_duck,,,,201828,hyper_top,100,0,33,0,21
joy,lully,,,,201829,hyper_top,98,1,11,0,17
joy,fast_duck,,,,201829,hyper_top,100,0,30,0,10
joy,lully,,,,201830,hyper_top,99,1,14,0,7
joy,fast_duck,,,,201830,hyper_top,100,0,31,0,44
joy,lully,,,,201831,hyper_top,99,0,13,0,26
joy,fast_duck,,,,201831,hyper_top,100,0,32,0,70
joy,lully,,,,201832,hyper_top,99,0,12,0,39
joy,fast_duck,,,,201832,hyper_top,100,2,47,0,36
joy,lully,,,,201833,hyper_top,99,0,17,0,6
joy,fast_duck,,,,201833,hyper_top,100,0,48,0,33
joy,lully,,,,201834,hyper_top,98,0,12,0,3
joy,fast_duck,,,,201834,hyper_top,100,0,45,0,31
joy,lully,,,,201835,hyper_top,98,0,10,0,50
joy,fast_duck,,,,201835,hyper_top,100,4,33,0,29
joy,lully,,,,201836,hyper_top,98,0,10,0,43
joy,fast_duck,,,,201836,hyper_top,100,4,31,0,28
joy,lully,,,,201837,hyper_top,98,0,13,0,3
joy,fast_duck,,,,201837,hyper_top,100,2,30,0,14
joy,lully,,,,201838,hyper_top,98,0,11,0,3
joy,fast_duck,,,,201838,hyper_top,100,1,28,0,14
joy,lully,,,,201839,hyper_top,98,0,8,0,10
joy,fast_duck,,,,201839,hyper_top,100,19,25,0,39
joy,lully,,,,201840,hyper_top,98,0,6,0,10
joy,fast_duck,,,,201840,hyper_top,100,26,25,0,30
joy,lully,,,,201841,hyper_top,98,31,7,0,31
joy,fast_duck,,,,201841,hyper_top,100,23,25,0,29
joy,lully,,,,201842,hyper_top,98,1,8,0,10
joy,fast_duck,,,,201842,hyper_top,100,0,29,0,45
joy,lully,,,,201843,hyper_top,98,1,8,0,1
joy,fast_duck,,,,201843,hyper_top,100,0,27,0,35
joy,lully,,,,201844,hyper_top,98,0,8,0,3
joy,fast_duck,,,,201844,hyper_top,100,0,32,0,17
joy,lully,,,,201845,hyper_top,98,0,9,0,21
joy,fast_duck,,,,201845,hyper_top,100,13,31,0,21
joy,lully,,,,201846,hyper_top,97,10,9,0,22
joy,fast_duck,,,,201846,hyper_top,100,0,28,0,10
joy,lully,,,,201847,hyper_top,98,8,13,0,8
joy,fast_duck,,,,201847,hyper_top,100,4,33,0,24
joy,lully,,,,201848,hyper_top,98,0,17,0,8
joy,fast_duck,,,,201848,hyper_top,100,0,31,0,22
joy,lully,,,,201849,hyper_top,98,0,18,0,10
joy,fast_duck,,,,201849,hyper_top,100,0,36,0,51
joy,lully,,,,201850,hyper_top,98,0,13,0,40
joy,fast_duck,,,,201850,hyper_top,100,0,24,0,62
joy,lully,,,,201851,hyper_top,98,0,17,0,47
joy,fast_duck,,,,201851,hyper_top,100,0,39,0,67
