BRAND,YEAR_WEEK,BRAND_QUALITY,BRAND_QUALITY_ID,TOUCHPOINT,SPEND,GRP,IMPRESSIONS,CLICKS,REACH
heavy_feather,201849,,,mary,4305.556343,0,421797,666,0
heavy_feather,201849,,,marc,0,0,0,0,0
heavy_feather,201849,,,fiona,81431,50.956,0,0,0
heavy_feather,201850,,,lisa,0,0,0,0,0
heavy_feather,201850,,,alex,0,0,0,0,0
heavy_feather,201850,,,tom,0,0,0,0,0
heavy_feather,201850,,,laura,0,0,0,0,0
heavy_feather,201850,,,jack,8608.316023,0,1025827,2805,0
heavy_feather,201850,,,mary,5081.50847,0,480089,689,0
heavy_feather,201850,,,marc,0,0,0,0,0
heavy_feather,201850,,,fiona,105756,51.749822,0,0,0
heavy_feather,201851,,,lisa,0,0,0,0,0
heavy_feather,201851,,,alex,0,0,0,0,0
heavy_feather,201851,,,tom,0,0,0,0,0
heavy_feather,201851,,,laura,0,0,0,0,0
heavy_feather,201851,,,jack,18124.11124,0,2104062,5257,0
heavy_feather,201851,,,mary,11336.53006,0,961699,521,0
heavy_feather,201851,,,marc,0,0,0,0,0
heavy_feather,201851,,,fiona,0,15.7,0,0,0
heavy_feather,201852,,,lisa,0,0,0,0,0
heavy_feather,201852,,,alex,0,0,0,0,0
heavy_feather,201852,,,tom,0,0,0,0,0
heavy_feather,201852,,,laura,0,0,0,0,0
heavy_feather,201852,,,jack,17009.32017,0,1987548,4837,0
heavy_feather,201852,,,mary,7015.911912,0,662911,505,0
heavy_feather,201852,,,marc,0,0,0,0,0
heavy_feather,201852,,,fiona,0,0,0,0,0
heavy_feather,201901,,,lisa,0,0,0,0,0
heavy_feather,201901,,,alex,0,0,0,0,0
heavy_feather,201901,,,tom,0,0,0,0,0
heavy_feather,201901,,,laura,0,0,0,0,0
heavy_feather,201901,,,jack,1366.343938,0,176685,432,0
heavy_feather,201901,,,mary,1229.922187,0,132647,59,0
heavy_feather,201901,,,marc,0,0,0,0,0
heavy_feather,201901,,,fiona,0,0,0,0,0
heavy_feather,201902,,,lisa,0,0,0,0,0
heavy_feather,201902,,,alex,0,0,0,0,0
heavy_feather,201902,,,tom,0,0,0,0,0
heavy_feather,201902,,,laura,0,0,0,0,0
heavy_feather,201902,,,jack,0,0,0,0,0
heavy_feather,201902,,,mary,0,0,0,0,0
heavy_feather,201902,,,marc,0,0,0,0,0
heavy_feather,201902,,,fiona,0,0,0,0,0
heavy_feather,201903,,,lisa,0,0,0,0,0
heavy_feather,201903,,,alex,0,0,0,0,0
heavy_feather,201903,,,tom,0,0,0,0,0
heavy_feather,201903,,,laura,0,0,0,0,0
heavy_feather,201903,,,jack,0,0,0,0,0
heavy_feather,201903,,,mary,0,0,0,0,0
heavy_feather,201903,,,marc,0,0,0,0,0
heavy_feather,201903,,,fiona,0,0,0,0,0
heavy_feather,201904,,,lisa,0,0,0,0,0
heavy_feather,201904,,,alex,0,0,0,0,0
heavy_feather,201904,,,tom,0,0,0,0,0
heavy_feather,201904,,,laura,0,0,0,0,0
heavy_feather,201904,,,jack,0,0,0,0,0
heavy_feather,201904,,,mary,0,0,0,0,0
heavy_feather,201904,,,marc,0,0,0,0,0
heavy_feather,201904,,,fiona,0,0,0,0,0
heavy_feather,201905,,,lisa,0,0,0,0,0
heavy_feather,201905,,,alex,0,0,0,0,0
heavy_feather,201905,,,tom,0,0,0,0,0
heavy_feather,201905,,,laura,0,0,0,0,0
heavy_feather,201905,,,jack,0,0,0,0,0
heavy_feather,201905,,,mary,0,0,0,0,0
heavy_feather,201905,,,marc,0,0,0,0,0
heavy_feather,201905,,,fiona,0,0,0,0,0
heavy_feather,201906,,,lisa,0,0,0,0,0
heavy_feather,201906,,,alex,0,0,0,0,0
heavy_feather,201906,,,tom,0,0,0,0,0
heavy_feather,201906,,,laura,0,0,0,0,0
heavy_feather,201906,,,jack,0,0,0,0,0
heavy_feather,201906,,,mary,0,0,0,0,0
heavy_feather,201906,,,marc,0,0,0,0,0
heavy_feather,201906,,,fiona,0,0,0,0,0
heavy_feather,201907,,,lisa,0,0,0,0,0
heavy_feather,201907,,,alex,0,0,0,0,0
heavy_feather,201907,,,tom,0,0,0,0,0
heavy_feather,201907,,,laura,0,0,0,0,0
heavy_feather,201907,,,jack,0,0,0,0,0
heavy_feather,201907,,,mary,0,0,0,0,0
heavy_feather,201907,,,marc,0,0,0,0,0
heavy_feather,201907,,,fiona,0,0,0,0,0
heavy_feather,201908,,,lisa,0,0,0,0,0
heavy_feather,201908,,,alex,0,0,0,0,0
heavy_feather,201908,,,tom,0,0,0,0,0
heavy_feather,201908,,,laura,0,0,0,0,0
heavy_feather,201908,,,jack,0,0,0,0,0
heavy_feather,201908,,,mary,0,0,0,0,0
heavy_feather,201908,,,marc,0,0,0,0,0
heavy_feather,201908,,,fiona,0,0,0,0,0
heavy_feather,201909,,,lisa,0,0,0,0,0
heavy_feather,201909,,,alex,0,0,0,0,0
heavy_feather,201909,,,tom,0,0,0,0,0
heavy_feather,201909,,,laura,0,0,0,0,0
heavy_feather,201909,,,jack,0,0,0,0,0
heavy_feather,201909,,,mary,0,0,0,0,0
heavy_feather,201909,,,marc,0,0,0,0,0
heavy_feather,201909,,,fiona,0,0,0,0,0
heavy_feather,201910,,,lisa,0,0,0,0,0
heavy_feather,201910,,,alex,0,0,0,0,0
heavy_feather,201910,,,tom,0,0,0,0,0
heavy_feather,201910,,,laura,0,0,0,0,0
heavy_feather,201910,,,jack,0,0,0,0,0
heavy_feather,201910,,,mary,0,0,0,0,0
heavy_feather,201910,,,marc,0,0,0,0,0
heavy_feather,201910,,,fiona,0,0,0,0,0
heavy_feather,201911,,,lisa,0,0,0,0,0
heavy_feather,201911,,,alex,0,0,0,0,0
heavy_feather,201911,,,tom,0,0,0,0,0
heavy_feather,201911,,,laura,0,0,0,0,0
heavy_feather,201911,,,jack,0,0,0,0,0
heavy_feather,201911,,,mary,0,0,0,0,0
heavy_feather,201911,,,marc,0,0,0,0,0
heavy_feather,201911,,,fiona,0,0,0,0,0
heavy_feather,201912,,,lisa,0,0,0,0,0
heavy_feather,201912,,,alex,0,0,0,0,0
heavy_feather,201912,,,tom,0,0,0,0,0
heavy_feather,201912,,,laura,0,0,0,0,0
heavy_feather,201912,,,jack,0,0,0,0,0
heavy_feather,201912,,,mary,0,0,0,0,0
heavy_feather,201912,,,marc,0,0,0,0,0
heavy_feather,201912,,,fiona,0,0,0,0,0
heavy_feather,201913,,,lisa,0,0,0,0,0
heavy_feather,201913,,,alex,0,0,0,0,0
heavy_feather,201913,,,tom,0,0,0,0,0
heavy_feather,201913,,,laura,0,0,0,0,0
heavy_feather,201913,,,jack,0,0,0,0,0
heavy_feather,201913,,,mary,0,0,0,0,0
heavy_feather,201913,,,marc,0,0,0,0,0
heavy_feather,201913,,,fiona,0,0,0,0,0
heavy_feather,201914,,,lisa,0,0,0,0,0
heavy_feather,201914,,,alex,0,0,0,0,0
heavy_feather,201914,,,tom,0,0,0,0,0
heavy_feather,201914,,,laura,0,0,0,0,0
