,YEAR_WEEK,BRAND,alex,fiona,jack,laura,lisa,marc,mary,tom,is_last_week,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december,TARGET_VOL_SO,PROMOTION_FEATURE,distribution,DISTRIBUTION_REF,YEAR,PRICE,AVERAGE_PRICE
45,201830,lully,0.0,0.0,11115.99,0.0,0.0,99139.0,0.0,6614.6,0,0,0,0,0,0,0,1,0,0,0,0,0,128685.0,0.07359090617045899,0.03125,96.0,2018,18.153901387108053,18.083971900701833
46,201830,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.94,0,0,0,0,0,0,0,1,0,0,0,0,0,30720.4,0.026274994660034814,0.10344827586206896,87.0,2018,24.696133513886537,24.608666114232967
47,201830,precious_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,25296.0,0.01995457029680198,0.16666666666666666,84.0,2018,36.75036764705882,35.590321970148764
48,201830,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.04,0,0,0,0,0,0,0,1,0,0,0,0,0,1922.5,0.046076053347829216,0.15789473684210525,38.0,2018,24.07843953185956,24.49527491212063
49,201830,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,21540.3,0.07700159163473805,0.07777777777777778,90.0,2018,26.332585897132354,26.298994981372765
50,201830,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.87,0,0,0,0,0,0,0,1,0,0,0,0,0,125716.5,0.06646534593332473,0.02040816326530612,98.0,2018,19.249350721663426,19.015696215177623
51,201830,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,144048.8,0.07672112712070957,0.041666666666666664,96.0,2018,20.396888415592493,20.483165901258772
52,201831,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,59208.0,0.066694366053254,0.1411764705882353,85.0,2018,6.70208586677476,6.654037187856543
53,201831,fast_duck,0.0,0.0,0.0,9594.68,0.0,21157.5,0.0,4974.999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,669757.8,0.08462693570192921,0.010101010101010102,99.0,2018,19.145864370672502,19.10838302316964
54,201831,gold_plane,0.0,4200.0,7067.11,10759.807692308,0.0,0.0,12361.3,30153.307692308,0,0,0,0,0,0,0,0,1,0,0,0,0,60147.2,0.0850591504132686,0.053763440860215055,93.0,2018,22.253559600446906,22.687164809846607
55,201831,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,14335.6,0.08610750166949845,0.06741573033707865,89.0,2018,40.65894695722537,40.26611060928006
56,201831,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,15824.5,0.10952430082126402,0.09302325581395349,86.0,2018,35.0038168662517,35.25365924774428
57,201831,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5938.2,0,0,0,0,0,0,0,0,1,0,0,0,0,15286.5,0.034943879984837604,0.2459016393442623,61.0,2018,15.438929774637753,15.659336474243835
58,201831,lully,0.0,0.0,10534.76,0.0,0.0,0.0,0.0,6462.62,0,0,0,0,0,0,0,0,1,0,0,0,0,148823.4,0.07476320634235975,0.03125,96.0,2018,18.130929007131943,18.083971900701833
59,201831,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.09,0,0,0,0,0,0,0,0,1,0,0,0,0,33749.1,0.029781665677021896,0.10344827586206896,87.0,2018,24.607195451137954,24.608666114232967
60,201831,precious_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,26821.1,0.01661964743698778,0.16666666666666666,84.0,2018,36.875422708240905,35.590321970148764
61,201831,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1828.8,0.03811597766741671,0.18421052631578946,38.0,2018,24.279363517060368,24.49527491212063
62,201831,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,22676.3,0.0774198948986923,0.07777777777777778,90.0,2018,26.32065195821188,26.298994981372765
63,201831,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.86,0,0,0,0,0,0,0,0,1,0,0,0,0,145303.3,0.07264427103370526,0.02040816326530612,98.0,2018,19.121942171994718,19.015696215177623
64,201831,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,162354.0,0.07892558824514762,0.041666666666666664,96.0,2018,20.3481879103687,20.483165901258772
65,201832,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,67569.0,0.0677339890240221,0.1411764705882353,85.0,2018,6.694620314049342,6.654037187856543
66,201832,fast_duck,0.0,0.0,0.0,4692.74,0.0,285106.11,0.0,7535.1,0,0,0,0,0,0,0,0,1,0,0,0,0,616891.8,0.08065492622921314,0.010101010101010102,99.0,2018,19.22894257955771,19.10838302316964
